127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000582
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.000712
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.002212
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000660
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000835
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000655
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.000634
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.000668
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.000490
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.000618
127.0.0.1, 2013-11-06 10:47:29, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.000656
127.0.0.1, 2013-11-06 10:47:29, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.000444
127.0.0.1, 2013-11-06 10:47:29, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000441
127.0.0.1, 2013-11-06 10:47:40, GET, /examples/default/what, HTTP/1.1, 200, 0.415694
127.0.0.1, 2013-11-06 10:47:44, GET, /examples/default/support, HTTP/1.1, 200, 0.100289
127.0.0.1, 2013-11-06 10:47:50, GET, /examples/default/who, HTTP/1.1, 200, 0.031850
127.0.0.1, 2013-11-06 10:47:53, GET, /examples/default/what, HTTP/1.1, 200, 0.396405
127.0.0.1, 2013-11-06 10:47:54, GET, /examples/default/index, HTTP/1.1, 200, 0.016162
127.0.0.1, 2013-11-06 10:47:57, GET, /examples/default/what, HTTP/1.1, 200, 0.406798
127.0.0.1, 2013-11-06 10:47:57, GET, /examples/default/download, HTTP/1.1, 200, 0.025448
127.0.0.1, 2013-11-06 10:47:58, GET, /examples/static/css/artwork.css, HTTP/1.1, 404, 0.000572
127.0.0.1, 2013-11-06 10:47:58, GET, /examples/static/images/logo_lb.png, HTTP/1.1, 200, 0.000629
127.0.0.1, 2013-11-06 10:47:58, GET, /examples/static/images/logo_db.png, HTTP/1.1, 200, 0.000679
127.0.0.1, 2013-11-06 10:47:58, GET, /examples/static/images/logo_bw.png, HTTP/1.1, 200, 0.000661
127.0.0.1, 2013-11-06 10:47:58, GET, /examples/static/images/Stickers1.png, HTTP/1.1, 200, 0.000669
127.0.0.1, 2013-11-06 10:47:58, GET, /examples/static/images/Stickers2.png, HTTP/1.1, 200, 0.000478
127.0.0.1, 2013-11-06 10:47:58, GET, /examples/static/images/Stickers3.png, HTTP/1.1, 200, 0.000508
127.0.0.1, 2013-11-06 10:47:58, GET, /examples/static/images/Stickers4.png, HTTP/1.1, 200, 0.000527
127.0.0.1, 2013-11-06 10:47:58, GET, /examples/static/images/Stickers5.png, HTTP/1.1, 200, 0.000533
127.0.0.1, 2013-11-06 10:47:58, GET, /examples/static/images/Stickers6.png, HTTP/1.1, 200, 0.000645
127.0.0.1, 2013-11-06 10:47:58, GET, /examples/static/images/Stickers7.png, HTTP/1.1, 200, 0.000648
127.0.0.1, 2013-11-06 10:47:58, GET, /examples/static/images/Stickers8.png, HTTP/1.1, 200, 0.000483
127.0.0.1, 2013-11-06 10:48:00, GET, /examples/default/documentation, HTTP/1.1, 200, 0.053277
127.0.0.1, 2013-11-06 10:48:01, GET, /examples/default/support, HTTP/1.1, 200, 0.013915
127.0.0.1, 2013-11-06 10:48:03, GET, /examples/default/who, HTTP/1.1, 200, 0.014157
127.0.0.1, 2013-11-06 10:50:20, GET, /wel/default/index, HTTP/1.1, 404, 0.000570
127.0.0.1, 2013-11-06 10:50:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000300
127.0.0.1, 2013-11-06 10:50:25, GET, /welcom/default/index, HTTP/1.1, 404, 0.000787
127.0.0.1, 2013-11-06 10:50:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000420
127.0.0.1, 2013-11-06 10:50:31, GET, /welcom/default/index.html, HTTP/1.1, 404, 0.000682
127.0.0.1, 2013-11-06 10:50:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000397
127.0.0.1, 2013-11-06 10:50:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000314
127.0.0.1, 2013-11-06 10:50:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000453
127.0.0.1, 2013-11-06 10:50:38, GET, /examples/default/who, HTTP/1.1, 200, 0.035036
127.0.0.1, 2013-11-06 10:50:39, GET, /examples/default/support, HTTP/1.1, 200, 0.016405
127.0.0.1, 2013-11-06 10:50:41, GET, /examples/default/documentation, HTTP/1.1, 200, 0.028422
127.0.0.1, 2013-11-06 10:50:43, GET, /examples/default/download, HTTP/1.1, 200, 0.028424
127.0.0.1, 2013-11-06 10:50:44, GET, /examples/default/what, HTTP/1.1, 200, 0.452010
127.0.0.1, 2013-11-06 10:50:45, GET, /examples/default/index, HTTP/1.1, 200, 0.017038
127.0.0.1, 2013-11-06 10:50:48, GET, /examples/default/what, HTTP/1.1, 200, 0.400001
127.0.0.1, 2013-11-06 10:50:48, GET, /examples/default/who, HTTP/1.1, 200, 0.011947
127.0.0.1, 2013-11-06 10:50:50, GET, /examples/default/support, HTTP/1.1, 200, 0.014863
127.0.0.1, 2013-11-06 10:50:51, GET, /examples/default/what, HTTP/1.1, 200, 0.390361
127.0.0.1, 2013-11-06 10:50:52, GET, /examples/default/index, HTTP/1.1, 200, 0.014177
127.0.0.1, 2013-11-06 10:50:52, GET, /admin/default/site, HTTP/1.1, 200, 0.086652
127.0.0.1, 2013-11-06 10:50:52, GET, /admin/default/index, HTTP/1.1, 303, 0.079066
127.0.0.1, 2013-11-06 10:50:52, GET, /admin/default/site, HTTP/1.1, 200, 0.074710
127.0.0.1, 2013-11-06 10:50:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000432
127.0.0.1, 2013-11-06 10:50:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000485
127.0.0.1, 2013-11-06 10:50:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000355
127.0.0.1, 2013-11-06 10:50:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000267
127.0.0.1, 2013-11-06 10:50:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.055643
127.0.0.1, 2013-11-06 10:51:00, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000424
127.0.0.1, 2013-11-06 10:51:02, GET, /welcome/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000761
127.0.0.1, 2013-11-06 10:51:13, GET, /admin/default/index, HTTP/1.1, 303, 0.007257
127.0.0.1, 2013-11-06 10:51:13, GET, /admin/default/site, HTTP/1.1, 200, 0.062868
127.0.0.1, 2013-11-06 10:51:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000433
127.0.0.1, 2013-11-06 10:51:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000425
